Serial,Rank,Word,Type,Emotion
1,3,話,N,NONE
1,3,近,Vi,NONE
1,3,較,ADV,NONE
1,3,不,ADV,NONE
1,3,建議,N,POSITIVE
1,3,路線,N,NONE
1,3,公路,N,NONE
1,3,對,Vi,NONE
1,3,公交,N,NONE
1,3,是,Vt,NONE
1,3,會,ADV,NONE
1,3,房間,N,NONE
1,3,指示,Vt,POSITIVE
1,3,簡單,Vi,POSITIVE
1,3,麻煩,Vt,NEGATIVE
1,3,較為,ADV,NONE
1,3,非常,ADV,POSITIVE
1,1,蔡陸線,N,NONE
2,3,經濟,N,NONE
2,3,感覺,N,POSITIVE
2,3,商務,N,NONE
2,3,很,ADV,NONE
2,3,床,N,NONE
2,3,大,Vi,NONE
2,3,寬,Vi,NONE
2,3,有,Vt,NONE
2,3,房,N,NONE
2,3,實惠,Vi,NONE
2,3,不錯,Vi,POSITIVE
2,3,整體,N,NONE
3,3,要,ADV,NONE
3,3,價格,N,NONE
3,3,說,Vt,NONE
3,3,加班,Vi,NONE
3,3,這裡,N,NONE
3,3,想想,Vt,NONE
3,3,也,ADV,NONE
3,3,來,ADV,NONE
3,3,補充,Vt,POSITIVE
3,3,沒有,Vt,NEGATIVE
3,3,單位,N,NONE
3,3,高,Vi,NONE
3,3,對了,Vi,NONE
3,3,免費,Vi,POSITIVE
3,3,硬件,N,NONE
3,3,能夠,ADV,POSITIVE
3,3,還,ADV,NONE
3,3,就,ADV,NONE
3,3,電話,N,NONE
3,3,太,ADV,NONE
3,3,好,Vi,NONE
3,3,性價,N,NONE
3,3,點評,N,NONE
3,3,這樣,Vi,NONE
3,3,乾淨,Vi,POSITIVE
3,3,剛好,ADV,NONE
3,3,服務員,N,NONE
3,3,我,N,NONE
3,3,4日,N,NONE
3,3,3月,N,NONE
3,3,我們,N,NONE
3,3,位置,N,NONE
3,3,墊子,N,NONE
3,3,2008年,N,NONE
3,3,前台,N,NONE
3,3,態度,N,NONE
3,3,上網,Vi,NONE
3,3,算,Vt,NONE
3,3,硬,Vi,NONE
4,3,水果,N,NONE
4,3,大家,N,NONE
4,3,走,Vi,NONE
4,3,買,Vt,NONE
4,3,附近,N,NONE
4,3,可以,ADV,POSITIVE
4,3,吃,Vt,NONE
4,1,蘑菇,N,NONE
4,3,窗戶,N,NONE
4,3,遠,Vi,NONE
4,3,都,ADV,NONE
4,3,酸,Vi,NONE
4,3,夠,ADV,NONE
4,3,定,ADV,NONE
4,3,整潔,Vi,POSITIVE
4,3,餐廳,N,NONE
4,3,方便,Vi,POSITIVE
4,3,超市,N,NONE
5,1,川沙,N,NONE
9,3,環境,N,NONE
9,3,會不會,ADV,NONE
9,3,辦,Vt,NONE
9,3,地鐵,N,NONE
9,3,酒店,N,NONE
9,3,人,N,NONE
9,1,好奇,Vi,POSITIVE
9,3,有點,ADV,NONE
9,3,先,ADV,NONE
9,3,們,N,NONE
9,3,去,ADV,NONE
9,3,台,N,NONE
9,3,拆遷,Vt,NONE
9,3,差,Vi,NONE
9,3,小姐,N,NONE
9,3,鄙視,Vt,NEGATIVE
9,3,交通,N,NONE
9,3,時候,N,NONE
9,3,懶得,Vt,NEGATIVE
9,3,人家,N,NONE
9,3,6月,N,NONE
9,3,周圍,N,NONE
9,3,同意,Vt,POSITIVE
9,3,前面,N,NONE
9,3,爭,Vt,NONE
9,3,26日,N,NONE
9,3,總,A,NONE
9,3,竟然,ADV,NEGATIVE
9,3,知道,Vt,POSITIVE
9,3,等,Vt,NONE
9,1,弟兄,N,NONE
