word,polarity1,polarity2,polarity3,wpolarity
不错,1,1,1,1
好,0,1,1,1
差,-1,-1,-1,-1
方便,1,1,1,1
大,0,1,-1,1
小,0,-1,-1,-1
乾净,1,1,1,1
舒服,1,1,1,1
高,0,1,1,1
便宜,0,1,1,1
陈旧,-1,-1,-1,-1
近,0,1,-2,1
一般,0,-1,-2,-1
热情,1,1,1,1
周到,1,1,1,1
旧,0,-1,-1,-1
新,1,1,1,1
一流,1,1,1,1
烂,-1,-1,-1,-1
安静,0,1,1,1
豪华,0,1,1,1
整洁,1,1,1,1
糟糕,-1,-1,-1,-1
贵,0,1,-1,1
舒适,1,1,1,1
远,0,1,-2,1
宽敞,1,1,-2,1
快,0,1,1,1
恶劣,-1,-1,-1,-1
漂亮,1,1,1,1
多,0,-1,-2,-1
合理,0,1,1,1
免费,0,1,1,1
温馨,1,1,1,1
少,-1,-1,-2,-1
老,0,0,-1,-1
失望,-1,-1,-1,-1
不足,1,1,-2,1
简陋,-1,-1,-1,-1
脏,-1,-1,-1,-1
良好,1,1,1,1
慢,-1,-1,-2,-1
丰富,1,1,-2,1
齐全,1,1,1,1
清楚,-1,-1,1,-1
低,-1,-1,-1,-1
热闹,1,1,1,1
差劲,-1,-1,-1,-1
实惠,1,1,1,1
亲切,1,1,1,1
愉快,0,-1,1,-1
冷,-1,-1,-1,-1
简单,0,-1,-1,-1
普通,0,-1,-2,-1
好吃,0,1,1,1
合适,1,1,1,1
超值,1,1,-2,1
偏僻,-1,-1,-2,-1
快捷,-1,-1,1,-1
晚,0,-1,-2,-1
不便,0,-1,-1,-1
特别,0,1,-2,1
明显,-1,-1,1,-1
严重,-1,-1,-1,-1
满意,1,1,1,1
一样,-1,-1,-2,-1
气愤,-1,-1,-1,-1
繁华,1,1,1,1
细心,1,1,1,1
棒,1,1,1,1
优雅,1,1,1,1
主动,1,1,1,1
昏暗,-1,-1,-1,-1
美,1,1,1,1
早,0,-1,-2,-1
恐怖,-1,-1,-1,-1
生硬,-1,-1,-1,-1
差不多,-1,-1,-2,-1
理想,1,1,1,1
错,-1,-1,-1,-1
便利,1,1,1,1
优越,1,1,1,1
硬,-1,-1,-1,-1
佳,1,1,1,1
专业,0,1,-2,1
冷淡,-1,-1,-1,-1
冷漠,0,-1,-1,-1
惬意,1,1,1,1
划算,1,1,-2,1
郁闷,-1,-1,-1,-1
老旧,0,-1,-2,-1
正常,-1,-1,1,-1
可惜,0,1,-1,1
破旧,-1,-1,-1,-1
恶心,-1,-1,-1,-1
这样,-1,-1,-2,-1
宝贵,-1,-1,1,-1
强烈,-1,-1,-2,-1
值得,0,1,-2,1
真诚,0,-1,1,-1
足,1,1,-2,1
顺利,1,1,1,1
重要,0,1,1,1
冷冰冰,-1,-1,-1,-1
嘈杂,0,-1,-1,-1
深刻,0,1,1,1
清洁,-1,-1,1,-1
长,-1,-1,1,-1
可怕,-1,-1,-1,-1
不同,-1,-1,-2,-1
晕,-1,-1,-2,-1
容易,0,1,1,1
安全,-1,-1,1,-1
重,-1,-1,-1,-1
久,-1,-1,-2,-1
礼貌,0,1,1,1
友好,0,1,1,1
离谱,-1,-1,-2,-1
够,0,1,-2,1
不好,-1,-1,-2,-1
客观,-1,-1,1,-1
便捷,1,1,1,1
紧张,0,-1,-2,-1
开心,0,0,1,1
丰盛,1,1,-2,1
黑,-1,-1,-1,-1
诚挚,-1,-1,1,-1
可恶,-1,-1,-1,-1
优美,1,1,1,1
诚恳,-1,-1,1,-1
痛苦,-1,-1,-2,-1
标准,0,-1,1,-1
深,1,1,1,1
难闻,-1,-1,-1,-1
乱,0,-1,-1,-1
潮湿,-1,-1,-2,-1
实用,1,1,1,1
难吃,-1,-1,-1,-1
大方,1,1,1,1
可以,0,1,-2,1
美丽,1,1,1,1
还好,0,-1,-2,-1
整齐,1,1,1,1
巨大,-1,-1,-2,-1
狭小,-1,-1,-2,-1
最好,1,1,1,1
直接,-1,-1,-2,-1
刺鼻,-1,-1,-1,-1
典型,-1,-1,1,-1
细致,1,1,1,1
可爱,0,1,1,1
浓,-1,-1,-2,-1
最差,-2,-2,-1,-1
可笑,-1,-1,1,-1
薄,-1,-1,-1,-1
完善,0,0,1,1
客气,0,-1,1,-1
相同,-1,-1,-2,-1
吵,-1,-1,-2,-1
热,-1,-1,1,-1
臭,-1,-1,-1,-1
认真,-1,-1,1,-1
实在,-1,-1,1,-1
旺,1,1,1,1
宽,0,1,1,1
升级,1,1,-2,1
仔细,-1,-1,1,-1
无奈,-1,-1,-2,-1
不得了,-1,-1,-1,-1
清新,1,1,1,1
模糊,-1,-1,-1,-1
很好,-2,-2,-2,0
复杂,0,-1,-1,-1
足够,1,1,-2,1
冰冷,-1,-1,-1,-1
完美,0,1,1,1
阴暗,-1,-1,-1,-1
惊喜,1,1,1,1
详细,-1,-1,1,-1
无理,-1,-1,-1,-1
怪,0,1,-1,1
浓重,-1,-1,-2,-1
卫生,0,-1,1,-1
具体,-1,-1,-2,-1
美好,0,0,-2,0
忙,-1,-1,-2,-1
友善,1,1,1,1
相当,0,-1,1,-1
明亮,1,1,1,1
愤怒,-1,-1,-1,-1
好用,-1,-1,1,-1
奇怪,-1,-1,-2,-1
幽静,1,1,1,1
有名,1,1,1,1
紧,0,-1,-1,-1
美中不足,1,1,-2,1
透明,-1,-1,1,-1
太差,-2,-2,-2,0
对,-1,-1,1,-1
坏,-1,-1,-1,-1
高级,-1,-1,1,-1
实际,-1,-1,1,-1
不断,0,-1,-2,-1
强硬,-1,-1,1,-1
先进,1,1,1,1
适合,1,1,-2,1
不远,1,1,-2,1
疯狂,-1,-1,-1,-1
感动,1,1,-2,1
温暖,1,1,-2,1
可怜,-1,-1,-1,-1
清爽,0,1,-2,1
及时,1,1,-2,1
软,0,0,-1,-1
同样,-1,-1,-2,-1
不耐烦,-1,-1,-2,-1
过分,-1,-1,-2,-1
很多,0,1,-2,1
脏兮兮,-1,-1,-1,-1
难,-1,-1,-1,-1
健康,1,1,1,1
贴心,1,1,-2,1
怎样,-1,-1,-2,-1
发霉,-1,-1,-2,-1
强,-1,-1,-1,-1
亮,-1,-1,1,-1
严格,-1,-1,-2,-1
麻烦,-1,-1,-1,-1
清晰,0,0,1,1
好看,0,0,1,1
如此,-1,-1,-2,-1
不值,-1,-1,-2,-1
可口,0,0,1,1
混乱,-1,-1,-1,-1
糟,-1,-1,-1,-1
偏远,-1,-1,-2,-1
洁净,1,1,1,1
对了,0,1,-2,1
踏实,0,1,1,1
尴尬,-1,-1,-1,-1
怎麽样,0,-1,-2,-1
太多,-1,-1,-2,-1
急,0,0,-1,-1
迷你,-1,-1,-2,-1
勤快,1,1,1,1
齐备,1,1,1,1
单调,1,1,-1,1
准确,0,0,1,1
厉害,0,0,-1,-1
蛮横,-1,-1,-1,-1
精致,1,1,1,1
浓烈,0,-1,-2,-1
新鲜,0,1,1,1
错误,-1,-1,-1,-1
白,-1,-1,-1,-1
困难,-1,-1,-1,-1
合作,-1,-1,-2,-1
奢华,0,-1,-1,-1
勉强,-1,-1,-1,-1
自然,0,0,1,1
爽,-1,-1,1,-1
黑乎乎,-1,-1,-1,-1
深深,1,1,-2,1
难受,-1,-1,-1,-1
清清楚楚,-1,-1,-2,-1
闷热,-1,-1,-2,-1
出现,-1,-1,-2,-1
绝对,-1,-1,-2,-1
高兴,1,1,1,1
特殊,0,-1,-2,-1
不爽,-2,-2,-1,-1
很少,0,-1,-2,-1
气派,1,1,1,1
一塌糊涂,-1,-1,-1,-1
没用,-1,-1,-1,-1
出名,1,1,-2,1
脏乱,-1,-1,-1,-1
不适,-1,-1,-2,-1
斑驳,-1,-1,-2,-1
行,0,1,1,1
吓人,-1,-1,-1,-1
努力,0,-1,-2,-1
还可以,1,1,-2,1
豪,0,-1,-1,-1
匆忙,0,-1,-2,-1
不行,-1,-1,-1,-1
危险,1,1,-1,1
清凉,1,1,-2,1
出奇,-1,-1,-2,-1
难得,0,1,-2,1
粗糙,0,-1,-1,-1
破,-1,-1,-1,-1
残,-1,-1,-1,-1
成功,-1,-1,-2,-1
低劣,-1,-1,-1,-1
慎重,-1,-1,1,-1
凉快,1,1,-2,1
忠实,0,-1,1,-1
费劲,0,1,-1,1
现代,1,1,-2,1
相对,1,1,-2,1
不幸,0,-1,-1,-1
牵强,-1,-1,-2,-1
多元,-1,-1,-2,-1
暖,-1,-1,-2,-1
相关,-1,-1,-2,-1
污渍,-1,-1,-2,-1
基本,0,-1,1,-1
过时,1,1,-1,1
有效,0,-1,1,-1
吸引人,1,1,-2,1
破烂,-1,-1,-2,-1
小小,0,-1,-2,-1
稳定,-1,-1,1,-1
极好,1,1,1,1
自动,-1,-1,1,-1
竣工,1,1,-2,1
殷勤,1,1,-2,1
通风,-1,-1,-2,-1
一致,0,1,1,1
超大,1,1,-2,1
偏,0,1,-1,1
宾至如归,1,1,-2,1
潮,-1,-1,-1,-1
值,1,1,-2,1
厚实,1,1,-2,1
适中,1,1,-2,1
傲慢,-1,-1,-1,-1
有意思,0,1,1,1
不多,-2,-2,-2,0
坚决,-1,-1,1,-1
绝佳,1,1,1,1
辛苦,1,1,-1,1
响,0,0,-2,0
真实,-1,-1,1,-1
极差,-2,-2,-2,0
惨,0,1,-1,1
宽大,1,1,1,1
怪异,-1,-1,-2,-1
红,-1,-1,1,-1
衷心,0,-1,1,-1
细小,-1,-1,-1,-1
好好,-1,-1,1,-1
众多,1,1,-2,1
完备,1,1,1,1
畅,-1,-1,-2,-1
较多,-2,-2,-2,0
幸运,1,1,1,1
优质,0,1,1,1
不少,0,0,-2,0
ok,-2,-2,-2,0
夸张,-1,-1,-2,-1
很大,-2,-2,-2,0
痒,-1,-1,-2,-1
优良,1,1,1,1
发黄,-1,-1,-2,-1
物超所值,1,1,-2,1
最多,-1,-1,-2,-1
专门,1,1,-2,1
凉,-1,-1,-1,-1
