Serial,Aspect,Opinion(List)
1,服务,极差_
2,酒店,比较安静_还可以_
3,楼,点评_
4,热情,
5,酒店,容易找到_高速下来_
6,商务,不高_感觉_不了_
7,酒店,不好_漏风_排_住_
8,退房,慢_破_慢_服务_差_
9,携程,不能_吃_不带_定_评价_
10,酒店,满_有_觉得_还满_住_好像是_旋转_不错_服务_比较好_
11,长春,都冻醒_还没有_感冒_这样_就是_还好_还好_
12,交通,便是_最令_住_不到_实际上打车_开_40块去_不到_竟然收_失望_打_
13,星级,
14,房间,还住_优越_下次来_好_高_
15,房间,大_小_有_比较偏远_
16,天津,居然是_不如_演艺场_星级_穿_特别_在_到处是_享受_太乱_走动_星级_不像_不知道_
17,行政房,非常喜欢_下次去_延迟_好_给_是_非常不错_住_到_还会_新_退房_而且可以_免费升级_也方便_到_
18,房间,齐_全_小_
19,外观,还是打消_完_没法提_还行_洗澡_有_吃_不清_本来想_说_但是看_
20,酒店,是_停_找_五星_就是_不像_不好_是_不协助_像_不是_五星级_都走_不让_停车_不了_很理想_整体_
21,祠宾馆,没_很远_推荐_到_
22,酒店,不要_没有把_安静_传给_几乎相同_是_很清楚_都是_不知道_有_写_遇到_给_
23,房间,很干净_上网_也不错_很舒服_可以_住_照_说_进来_
24,日本人,料理_做_那么差_
25,设施,不干净_
26,房间,坏_问_还生_退房_让_是_说_没有_
27,酒店,没开门_送餐_告诉_还是_顺便问_客气_安排_到达_吃_吃上_可以_想_说_很晚_到_
28,热水,就是_洗_不是_过烫_完_比较糟糕_比较吸引_很不错_还可以_冷热_难调节_太冷_就是_
29,火车站,很近_长途_点餐可_有_至_打车_营业_起价_就到_出_免费送_是_便是_
30,行政,巨大_别提多_叫_出来_是_难忘_用_靠_难受_不制_总感觉_在克制_有_是_会_道铺_五星级_脏乱_影响_再换_没有_住_真是_不知_在装修_还有_送餐_故意让_吐_竟让_要求_最让_一直敞着_长途打回_
31,星,一般_不是_
32,宾馆,寒冷_相当好_已经停用_也算_优惠_就退房_竟然停用_是_原本预定_是_求证_住_度过_才知道_
33,饭店,比较老_还是可以_
34,酒店,不知道_没_让_起来_真的感觉_超级_烧_不知道_腊燃_评上_采用_明亮_感觉_不是_做_用餐_食_再次补充_是_早上_有_不好_好像是_加热_加温_就能够_保温_叫_真是_很浓_如下_请_仍然是_不是_都希望_弄_
35,酒店,直接去_比较小_不错_有点旧_游泳_可以_
36,如家,略差_产权式_不熟悉_强_是_不知道_对_后来得知_有_要_没有_
37,当地,最好_有_
38,酒店,
39,现金,不及时_打扫_
40,酒店,去_不错_还会_服务_不错_好_
41,服务,很好_提出_很快_对应_就有_
42,设施,有点老化_漱用_配_取静_毕竟是_洗_闹_
43,特价房,隔_相同_出来_很差_就是_才去_临近_主要考虑_听见_做事_很清楚_走到_在_非常小_不隔音_用_基本是_排出_都能_见面_住_还有_
44,酒店,改点_喝_说_不敢_但生_没有_应_却有_就要_有_应_不新鲜_非要_非常差_炒_有_较贵_上_声称_炒_说_很远_没有_光打_
