Serial,Aspect,Opinion(List)
99,朋友,不要_说_不说_完全是_不负责任_到_没有接到_说_还答应_要_说_没有接到_是_可能_打_订_实在是_住_无法联系_差_打给_还好意思_打_打_晚点_没有接到_随便住_回来_建议_可以_太差_说_接_上_说_到_实在是_
198,计算机,上网_供_可_
906,水龙,有_传_明显_过来_
900,饭菜,能_非辣_兼顾_增加_更好_
933,出租车,等_还有_
809,店,会_相关_遇到_请_解决_谢谢_联系_
391,画面,起来_反思_一打开_怕_不堪入目_就是_乱摁_只有把_应该_器藏_怎么可以_
803,选择,相当便宜_比较小_
350,房间,
197,异味,
903,店,也是_这样_给_太差_不情愿_值班_不是_太差_换_为期_只能_说_服务_排队_后悔_不知道_极差_非常后悔_不方便_也要_写错_是_
63,in,非常感谢_反馈_入住_不告诉_
480,男女,害_不怎么样_携程_不过话_怕_回来_没敢_找_怕_而是_搞笑_付钱_说_很是_不是_都收费_
607,空调,每去_不知_酒店去_只能_越来越差_
193,十字,一问三不知_叫_成_起_吸引_梦得_
987,网卡,只有_
369,车胎,加层_有_不晓得_被_尽量要求_简单装修_扎_都是_会_是_有_报复_不熟_全瘪_
66,料理,还不错_烤肉_
737,西向,总算说_让_不清_有_标志性_也分_
255,位置,三角形_不安全_躺在_说_到_排_住_就看到_很小_是_冷死冻死_再踏入_下车_也会_有_只能_不来_不方正_不会_预订_高级_真是_没有_很划_很小_太低_不要_才能_难道携程_叫_
383,酒店,拦住_被_没法进去_
250,位置,很近_
461,价钱,留着_可以_玩_放_又大_又好_都没_把_住别_又小_去_又便宜_更好_建议_
322,感受,包含_很丰盛_期待_要_挺好_很听_征求_说_装修_
729,地理,还不错_不值得_
942,感觉,给_显得_亲自入住_今后考虑_比较失望_太贵_新_新开_很旧_不值_很旧_有些脏_
886,宾馆,并不构成_
530,换间房,冷_
618,后面,不高_加上没有_高_
984,接机,容易漏水_也有_脏_连放冷水_怎么干净_不敢_不方便_喝_比较小_有_综合_很方便_变_怎么好_逛_发霉_冷水_出行_感觉_开_上当_淋_看到_很湿_使_没敢_不好_很远_使用_
897,帮助,等_上班_靠_都休息_居然说_得_
299,婴儿,就是_太符合_很棒_收费_还要_上网_
